import_time,store_id,store_name,product_id,product_name,spec,realtimeprice,category,tags,icon,分割线,store_id,store_name,product_id,product_name,spec,category,tags,realtimeprice,icon,相似度分数
2018/3/1,47090,沃尔玛-宝山万达店,2006658790,丑柑,500g,12.5,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2010447835,光明红枣酸牛奶,950g,日配冷藏,,13.9,,0
2018/3/1,47090,沃尔玛-宝山万达店,2006658790,丑柑,500g,12.5,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2010470085,贤哥手撕牛排味面筋,150g 150G,蛋品杂粮,,4.9,,0
2018/3/1,47090,沃尔玛-宝山万达店,2006658790,丑柑,500g,12.5,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2010448350,乌拉圭牛尾,500g,大肉家禽,,45.8,,0
2018/3/1,47090,沃尔玛-宝山万达店,2010104458,丰水梨,1kg,11.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2009879567,茶花脚踏卫生桶 1502,,日用百货,,39.9,,0
2018/3/1,47090,沃尔玛-宝山万达店,2010104458,丰水梨,1kg,11.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005554867,圃美多荞麦冷面1人份 ,390g,日配冷藏,,15.8,,0
2018/3/1,47090,沃尔玛-宝山万达店,2010104458,丰水梨,1kg,11.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2007510330,高洁丝棉柔丝薄420夜用卫生巾 ,4p,清洁美妆,,8.9,,0
2018/3/1,47090,沃尔玛-宝山万达店,2003380226,九道菇 袋装金针菇 ,150g,2.5,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2011681653,袋装冰糖橙 1±,0.1kg,新鲜水果,活动期间(02.07-02.13)每人限购10件,11.99,,0.44
2018/3/1,47090,沃尔玛-宝山万达店,2003380226,九道菇 袋装金针菇 ,150g,2.5,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2010192147,画马石金针菇,170g,粮油调味,,6.9,,0.4
2018/3/1,47090,沃尔玛-宝山万达店,2003380226,九道菇 袋装金针菇 ,150g,2.5,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553158,雪榕金针菇 ,150g,时令蔬菜,,1.9,,0.4
2018/3/1,47090,沃尔玛-宝山万达店,2004859544,佳丰 农养鲜草鸡蛋,15枚 675g,15.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555426,土鸡蛋 ,15枚/份,蛋品杂粮,,12.9,,0.36
2018/3/1,47090,沃尔玛-宝山万达店,2008697267,佳丰 农养鲜草鸡蛋,20枚 900g,17.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555426,土鸡蛋 ,15枚/份,蛋品杂粮,,12.9,,0.36
2018/3/1,47090,沃尔玛-宝山万达店,2004859544,佳丰 农养鲜草鸡蛋,15枚 675g,15.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005553614,波力鸡蛋卷 ,216g,休闲零食,,27.8,,0.2
2018/3/1,47090,沃尔玛-宝山万达店,2010919555,佳丰 咸鸭蛋 ,70g,1.9,果蔬蛋类,,,***华丽分割线***,44047,永辉超市-长江国际店,2005555423,咸鸭蛋 ,10枚/份,蛋品杂粮,,10.96,,0.72
